,completeness,number_of_cds,type,length
MarDB_GCF_003797905.1_ASM379790v1,99.86,4095,WGS,4333054
MAGsDB_TARA_ANW_MAG_00065,88.61,4691,MAG,5058444
ProGenomes_1442598_PRJNA232856,98.78,2196,WGS,2201349
MarDB_Longibacter_salinarum_strain_KCTC_52045,97.18,3595,WGS,4406485
MarDB_bacterium_BMS3Bbin06,91.82,2421,MAG,2495865
MarRef_Streptomyces_sp_CC0208,99.89,8348,WGS,9320089
MarDB_Planctomycetaceae_bacterium_strain_SZUA-42,88.44,2289,MAG,2784871
MarRef_Nitratiruptor_sp_SB155-2,98.78,1933,WGS,1877932
MarRef_Shewanella_baltica_OS195,99.84,4818,WGS,5547545
MAGsDB_PACQ01,96.95,4954,MAG,5354704
MarDB_GCF_003415655.1_ASM341565v1,99.07,4244,WGS,4758008
MarDB_Cytophaga_fermentans_DSM_9555,100.0,4754,WGS,5982062
MAGsDB_NZFK01,77.47,1622,MAG,1717845
MarDB_GCA_003661365.1_ASM366136v1,77.75,2156,MAG,1823627
MAGsDB_TARA_ANW_MAG_00002,98.37,2806,MAG,3031081
MarDB_Rhodobacteraceae_bacterium_KLH11,99.25,4382,WGS,4487499
MAGsDB_TARA_PSW_MAG_00022,86.53,4033,MAG,4264159
MarDB_GCA_003660925.1_ASM366092v1,77.1,826,MAG,671958
MAGsDB_DBGM01,96.02,2071,MAG,2339826
ProGenomes_1304875_PRJNA195827,100.0,1968,WGS,2105968
MarDB_Sphingobium_sp_C100,99.93,4627,WGS,4776811
MarDB_Proteobacteria_bacterium_UBA5335,96.1,2345,MAG,2429758
MAGsDB_DAMU01,78.8,1625,MAG,1879829
MarDB_Pseudoalteromonas_ulvae_TC14,100.0,4056,WGS,4586484
MarRef_Flavobacteriaceae_bacterium,99.1,3047,WGS,3352970
MarRef_Shewanella_benthica,99.09,3839,WGS,4353505
MarDB_Erythrobacter_sp_YT30,99.59,3082,WGS,3202692
MarDB_Actinobacteria_bacterium_casp-actino5,89.74,1916,MAG,1897905
MarDB_Mycoplasma_sp_Bg1,91.6,1454,WGS,785028
MarDB_GCA_003635305.1_ASM363530v1,87.47,3908,MAG,4351829
MAGsDB_TARA_RED_MAG_00021,95.59,1260,MAG,1185789
MarDB_Marininema_mesophilum_strain_DSM_45610,99.23,3152,WGS,3331832
MarDB_Betaproteobacteria_bacterium_SG8_41,91.11,3595,WGS,3747631
MAGsDB_TARA_PSW_MAG_00047,90.05,2065,MAG,2170786
MarDB_Acidimicrobiia_bacterium_strain_SZUA-258,97.36,2247,MAG,2137197
MarRef_Salinimonas_sp_N102,100.0,3820,WGS,4440293
MarDB_Thaumarchaeota_archaeon_SCGC_AAA282-K18,77.99,1322,SAG,1043508
MarDB_GCA_003454665.1_ASM345466v1,78.46,2947,MAG,3012392
MarDB_Methyloceanibacter_marginalis_strain_R-67177,81.87,3784,WGS,2997426
MarDB_Mangrovimonas_sp_ST2L15,99.34,3166,WGS,3556544
MarDB_Gemmatimonadetes_bacterium_strain_SZUA-320,92.31,2955,MAG,3030465
MarDB_GCF_003323715.1_ASM332371v1,99.56,6574,WGS,7661915
MarRef_Idiomarina_loihiensis_L2TR,100.0,2658,WGS,2839319
MarDB_Psychrobacter_pacificensis_strain_DSM_23406,100.0,2678,WGS,3062582
MAGsDB_NZHJ01,92.95,1293,MAG,1361524
MAGsDB_DEQW01,99.24,2939,MAG,3141914
MarDB_GCA_003645085.1_ASM364508v1,91.21,2264,MAG,2674773
MarDB_Marinobacter_daepoensis,100.0,3527,WGS,3830062
MarRef_Erythrobacter_seohaensis_strain_SW-135,99.82,2880,WGS,2942673
MarDB_Kushneria_avicenniae_strain_DSM_23439,99.56,3254,WGS,3605330
MarDB_GCA_003643975.1_ASM364397v1,89.18,1864,MAG,1744083
MarDB_Bizionia_sp_APA-3,99.67,3333,WGS,3527769
MarDB_Pelagibacteraceae_bacterium_AG-447-N18,92.89,1225,SAG,1120369
MarDB_Algoriphagus_marincola,100.0,3907,WGS,4431679
MarDB_Caloramator_sp_ALD01,99.19,2475,WGS,2530769
MarDB_Alteromonas_sp_P0211,99.97,3392,WGS,3646037
MarRef_Shewanella_loihica_PV-4,99.7,3903,WGS,4602595
MarDB_GCF_003576595.1_ASM357659v1,100.0,3071,WGS,3252977
MarRef_Paenibacillus_durus_DSM_1735,99.8,5395,WGS,6053499
MarDB_Aquimarina_sediminis,99.24,5022,WGS,5838147
MAGsDB_DFNE01,92.54,2397,MAG,2468000
MAGsDB_PAPI01,99.37,3671,MAG,4353457
MarRef_Tistrella_mobilis_KA081020-065,100.0,5837,WGS,6512984
MarDB_Desulfobacula_sp_TS,97.6,5591,WGS,5371842
MAGsDB_TARA_MED_MAG_00064,75.55,1256,MAG,1112207
MarRef_Bdellovibrio_bacteriovorus_strain_109J,97.75,3638,WGS,3830428
MarDB_Citrobacter_amalonaticus_YG8,99.97,4695,WGS,4956892
MarDB_Carnobacterium_sp_AT7,93.74,2332,WGS,2442119
MarDB_GCA_003646345.1_ASM364634v1,83.52,4359,MAG,4361549
ProGenomes_382245_PRJNA16723,100.0,4397,WGS,4702402
MarDB_Microbulbifer_sp_HZ11,99.14,3481,WGS,4222555
MarDB_Arcobacter_halophilus_strain_DSM_18005,100.0,2725,WGS,2746292
MAGsDB_TARA_RED_MAG_00010,91.66,1499,MAG,1469377
MarDB_Gammaproteobacteria_bacterium_strain_SZUA-270,96.54,2253,MAG,2226063
MAGsDB_DEYM01,96.73,2336,MAG,2593268
MarDB_Domibacillus_iocasae_strain_DSM_29979,98.68,3522,WGS,3464278
MAGsDB_PAQX01,75.0,3625,MAG,3988723
MarDB_GCF_003344045.1_ASM334404v1,99.89,3545,WGS,3811936
MarRef_Francisella_sp_FSC1006,98.71,1953,WGS,2015988
ProGenomes_547144_PRJNA41741,99.59,1628,WGS,1552931
MarDB_Erythrobacter_marinus_KCTC_23554,99.25,2711,WGS,2835899
MarDB_Paraglaciecola_sp_S66,98.91,4519,WGS,5221451
MarDB_Pelagibacteraceae_bacterium_AG-345-O09,77.59,999,SAG,912744
MAGsDB_PBYN01,98.47,5331,MAG,5521072
MAGsDB_DCWJ01,91.28,4327,MAG,4397465
MAGsDB_NYVR01,93.18,3018,MAG,3688876
MarDB_Desulfobacterium_vacuolatum_DSM_3385,98.71,4109,WGS,5035799
MarDB_Spirochaetes_bacterium_strain_SZUA-370,97.7,3062,MAG,3381731
MarRef_Pseudoalteromonas_aliena_EH1,100.0,3986,WGS,4594697
MarDB_Aquimarina_amphilecti_strain_DSM_25232,99.62,4684,WGS,5309873
MAGsDB_DCAS01,88.28,2060,MAG,1859134
MarDB_Ochrobactrum_pituitosum_strain_BU72,100.0,4609,WGS,4885407
MarDB_Thermococcus_celericrescens,98.77,2617,WGS,2337140
MarDB_Thalassospira_sp_MCCC_1A03138,100.0,4191,WGS,4566191
MarRef_Aquimarina_sp_BL5,99.62,5078,WGS,6011237
MAGsDB_TARA_ANE_MAG_00023,80.47,1435,MAG,1451325
MarDB_Pararhodobacter_sp_AM505,99.44,3735,WGS,4085976
MarRef_Oleiphilus_messinensis_ME102,99.25,5545,WGS,6379281
ProGenomes_1382305_PRJNA214315,100.0,3577,WGS,3633869
MAGsDB_DGNZ01,90.2,4015,MAG,3771692
